Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPper,PS/G,TRB,ASTper
1,Trae Young\youngtr01,Oct 17 '18 ATL @ NYK,20,1,75,2312,479,1144,149,442,311,379,55,267,595,62,15,294,128,1418,0.419,0.337,0.821,30.8,18.9,3.6,7.9
2,Luka Doncic\doncilu01,Oct 17 '18 DAL @ PHO,19,1,69,2223,483,1133,161,492,332,468,79,527,405,74,24,233,131,1459,0.426,0.327,0.709,32.2,21.1,7.6,5.9
3,Shai Gilgeous-Alexander\gilgesh01,Oct 17 '18 LAC vs. DEN,20,1,75,1963,296,632,46,126,142,176,50,205,241,84,40,130,160,780,0.468,0.365,0.807,26.2,10.4,2.7,3.2
4,De'Anthony Melton\meltode01,Oct 22 '18 PHO @ GSW,20,1,44,858,85,225,28,90,15,20,21,117,139,59,20,64,101,213,0.378,0.311,0.75,19.5,4.8,2.7,3.2
5,Jalen Brunson\brunsja01,Oct 17 '18 DAL @ PHO,22,1,66,1395,232,491,57,158,72,96,25,152,190,34,4,76,114,593,0.473,0.361,0.75,21.1,9,2.3,2.9
6,Kevin Huerter\huertke01,Oct 17 '18 ATL @ NYK,20,1,69,1877,245,593,123,325,40,54,53,223,191,61,22,102,144,653,0.413,0.378,0.741,27.2,9.5,3.2,2.8
7,Collin Sexton\sextoco01,Oct 17 '18 CLE @ TOR,20,1,75,2344,461,1082,105,254,198,236,52,224,213,39,6,165,174,1225,0.426,0.413,0.839,31.3,16.3,3,2.8
8,Devonte' Graham\grahade01,Oct 22 '18 CHO @ TOR,23,1,38,529,59,169,27,96,30,41,6,49,96,19,2,24,42,175,0.349,0.281,0.732,13.9,4.6,1.3,2.5
9,Elie Okobo\okoboel01,Oct 17 '18 PHO vs. DAL,21,1,46,828,93,249,30,112,31,40,9,87,115,26,6,58,98,247,0.373,0.268,0.775,18,5.4,1.9,2.5
10,Isaiah Briscoe\briscis01,Oct 19 '18 ORL vs. CHO,22,1,39,559,55,138,11,34,15,26,5,74,87,11,2,31,66,136,0.399,0.324,0.577,14.3,3.5,1.9,2.2
11,Mikal Bridges\bridgmi01,Oct 17 '18 PHO vs. DAL,22,1,75,2153,215,498,96,285,82,104,50,240,157,121,33,65,182,608,0.432,0.337,0.788,28.7,8.1,3.2,2.1
12,J.P. Macura\macurjp01,Jan 2 '19 CHO vs. DAL,23,1,1,14,2,8,0,4,0,0,0,2,2,0,0,0,0,4,0.25,0,,14,4,2,2
13,Allonzo Trier\trieral01,Oct 17 '18 NYK vs. ATL,23,1,64,1459,232,518,52,132,179,223,31,197,119,28,14,116,117,695,0.448,0.394,0.803,22.8,10.9,3.1,1.9
14,Deandre Ayton\aytonde01,Oct 17 '18 PHO vs. DAL,20,1,69,2128,496,846,0,4,136,182,218,706,123,61,64,120,203,1128,0.586,0,0.747,30.8,16.3,10.2,1.8
15,Jevon Carter\carteje01,Dec 15 '18 MEM vs. HOU,23,1,31,452,34,133,18,71,13,18,8,45,56,23,10,28,47,99,0.256,0.254,0.722,14.6,3.2,1.5,1.8
16,Wendell Carter\cartewe01,Oct 18 '18 CHI @ PHI,19,1,44,1110,180,371,6,32,89,112,87,307,78,26,58,65,152,455,0.485,0.188,0.795,25.2,10.3,7,1.8
17,Jaylen Adams\adamsja01,Oct 17 '18 ATL @ NYK,22,1,27,301,27,73,21,55,2,4,8,42,45,6,2,19,31,77,0.37,0.382,0.5,11.1,2.9,1.6,1.7
18,Kenrich Williams\willike04,Oct 17 '18 NOP @ HOU,24,1,40,899,91,236,43,128,11,17,46,190,62,36,13,32,82,236,0.386,0.336,0.647,22.5,5.9,4.8,1.6
