Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PS/G,TRB,AST▼
1,Trae Young\youngtr01,Oct 17 '18 ATL @ NYK,20,1,74,2281,467,1120,144,429,307,374,55,266,583,61,15,293,127,1385,.417,.336,.821,30.8,18.7,3.6,7.9
2,Luka Doncic\doncilu01,Oct 17 '18 DAL @ PHO,19,1,68,2187,474,1113,161,483,322,457,78,515,393,74,24,229,129,1431,.426,.333,.705,32.2,21.0,7.6,5.8
3,Shai Gilgeous-Alexander\gilgesh01,Oct 17 '18 LAC vs. DEN,20,1,74,1932,292,624,46,125,140,174,49,201,237,83,40,130,157,770,.468,.368,.805,26.1,10.4,2.7,3.2
4,De'Anthony Melton\meltode01,Oct 22 '18 PHO @ GSW,20,1,43,836,85,224,28,89,15,18,21,114,138,58,20,62,100,213,.379,.315,.833,19.4,5.0,2.7,3.2
5,Jalen Brunson\brunsja01,Oct 17 '18 DAL @ PHO,22,1,65,1365,226,483,54,154,72,96,25,152,187,34,4,74,109,578,.468,.351,.750,21.0,8.9,2.3,2.9
6,Kevin Huerter\huertke01,Oct 17 '18 ATL @ NYK,20,1,68,1847,242,581,121,318,40,54,53,222,188,59,22,101,141,645,.417,.381,.741,27.2,9.5,3.3,2.8
7,Collin Sexton\sextoco01,Oct 17 '18 CLE @ TOR,20,1,74,2305,452,1063,102,247,195,233,52,222,210,39,6,164,172,1201,.425,.413,.837,31.1,16.2,3.0,2.8
8,Elie Okobo\okoboel01,Oct 17 '18 PHO vs. DAL,21,1,45,802,91,243,30,110,31,40,8,85,111,25,5,57,95,243,.374,.273,.775,17.8,5.4,1.9,2.5
9,Devonte' Graham\grahade01,Oct 22 '18 CHO @ TOR,23,1,37,507,58,164,27,94,25,35,6,48,89,19,2,23,40,168,.354,.287,.714,13.7,4.5,1.3,2.4
10,Isaiah Briscoe\briscis01,Oct 19 '18 ORL vs. CHO,22,1,39,559,55,138,11,34,15,26,5,74,87,11,2,31,66,136,.399,.324,.577,14.3,3.5,1.9,2.2
11,Mikal Bridges\bridgmi01,Oct 17 '18 PHO vs. DAL,22,1,74,2122,215,493,96,284,81,102,49,236,156,120,33,63,182,607,.436,.338,.794,28.7,8.2,3.2,2.1
12,J.P. Macura\macurjp01,Jan 2 '19 CHO vs. DAL,23,1,1,14,2,8,0,4,0,0,0,2,2,0,0,0,0,4,.250,.000,,14.0,4.0,2.0,2.0
13,Allonzo Trier\trieral01,Oct 17 '18 NYK vs. ATL,23,1,64,1459,232,518,52,132,179,223,31,197,119,28,14,116,117,695,.448,.394,.803,22.8,10.9,3.1,1.9
14,Deandre Ayton\aytonde01,Oct 17 '18 PHO vs. DAL,20,1,68,2097,492,839,0,4,135,181,217,699,123,59,63,117,201,1119,.586,.000,.746,30.8,16.5,10.3,1.8
15,Wendell Carter\cartewe01,Oct 18 '18 CHI @ PHI,19,1,44,1110,180,371,6,32,89,112,87,307,78,26,58,65,152,455,.485,.188,.795,25.2,10.3,7.0,1.8
16,Jaylen Adams\adamsja01,Oct 17 '18 ATL @ NYK,22,1,26,290,27,72,21,54,2,4,8,42,45,6,2,19,29,77,.375,.389,.500,11.2,3.0,1.6,1.7
17,Jevon Carter\carteje01,Dec 15 '18 MEM vs. HOU,23,1,30,435,34,126,18,67,11,16,5,39,51,22,10,26,47,97,.270,.269,.688,14.5,3.2,1.3,1.7
18,Harry Giles\gilesha01,Oct 17 '18 SAC vs. UTA,20,1,58,820,175,348,0,6,58,91,66,222,85,31,22,73,150,408,.503,.000,.637,14.1,7.0,3.8,1.5
19,Aaron Holiday\holidaa01,Oct 17 '18 IND vs. MEM,22,1,45,522,88,221,35,108,36,41,4,59,66,17,12,31,56,247,.398,.324,.878,11.6,5.5,1.3,1.5
20,Kenrich Williams\willike04,Oct 17 '18 NOP @ HOU,24,1,39,870,88,228,41,123,11,17,46,185,57,34,13,29,80,228,.386,.333,.647,22.3,5.8,4.7,1.5
