name,club,age,position,position_cat,market_value/mil's,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing
Matthew Taylor,Burnley,35,LM,2,0.25,255,4.5,0.40%,0,1,England,0,6,4,0,0
Jonjoe Kenny,Everton,20,RB,3,0.25,53,4.5,0.20%,1,1,England,0,1,7,0,0
Joel Coleman,Huddersfield,21,GK,4,0.25,36,4,2.40%,0,1,England,0,1,8,0,0
Joe Lolley,Huddersfield,24,RW,1,0.25,63,4.5,0.10%,0,1,England,0,2,8,0,0
Jack Payne,Huddersfield,25,CM,2,0.25,81,4.5,0.10%,0,1,England,0,3,8,0,0
Dean Whitehead,Huddersfield,35,CM,2,0.25,161,4.5,0.10%,0,1,England,0,6,8,0,0
Jason McCarthy,Southampton,21,CB,3,0.25,53,4.5,0.10%,0,1,England,0,1,14,0,0
Sam Field,West Brom,19,CM,2,0.25,15,4.5,0.10%,9,1,England,0,1,19,0,0
Solly March,Brighton,23,RM,2,0.5,139,5,0.20%,0,1,England,0,2,3,0,0
Matthew Pennington,Everton,22,CB,3,0.5,219,4,1.70%,9,1,England,0,2,7,0,0
Harry Bunn,Huddersfield,24,LW,1,0.5,85,4.5,0.10%,0,1,England,0,2,8,0,0
Martin Cranie,Huddersfield,30,CB,3,0.5,67,4,1.40%,0,1,England,0,4,8,0,0
Mark Hudson,Huddersfield,35,CB,3,0.5,70,4,1.40%,0,1,England,0,6,8,0,0
Ben Hamer,Leicester City,29,GK,4,0.5,132,4.5,0.10%,0,1,England,0,4,9,0,0
Josh Sims,Southampton,20,RW,1,0.5,126,4.5,0.10%,12,1,England,0,1,14,0,0
Connor Goldson,Brighton,24,CB,3,0.75,52,4,0.80%,0,1,England,0,2,3,0,0
Kasey Palmer,Huddersfield,20,AM,1,0.75,220,5.5,0.20%,0,1,England,0,1,8,0,0
Scott Malone,Huddersfield,26,LB,3,0.75,81,4.5,0.10%,0,1,England,0,3,8,0,0
Rolando Aarons,Newcastle United,21,LW,1,0.75,170,4.5,0.10%,0,1,England,0,1,13,0,0
Sam McQueen,Southampton,22,LM,2,0.75,221,4.5,0.10%,23,1,England,0,2,14,0,0
Liam Rosenior,Brighton,33,RB,3,1,132,4,3.20%,0,1,England,0,5,3,0,0
Steve Sidwell,Brighton,34,CM,2,1,461,4.5,0.60%,0,1,England,0,6,3,0,0
Dean Marney,Burnley,33,CM,2,1,171,4.5,0.00%,51,1,England,0,5,4,0,0
Jonathan Hogg,Huddersfield,28,CM,2,1,75,4.5,0.30%,0,1,England,0,4,8,0,0
Axel Tuanzebe,Manchester City,19,CB,3,1,279,4,1.70%,14,1,England,0,1,12,1,0
Josh Tymon,Stoke City,18,LB,3,1,120,4.5,0.10%,9,1,England,0,1,15,0,0
Lee Grant,Stoke City,34,GK,4,1,480,4.5,1.20%,106,1,England,0,6,15,0,1
Leon Britton,Swansea,34,CM,2,1,218,4.5,0.10%,32,1,England,0,6,16,0,0
Ashley Fletcher,West Ham,21,CF,1,1,412,4.5,5.90%,16,1,England,0,1,20,0,1
Gareth Barry,Everton,36,DM,2,1.5,1331,4.5,1.70%,68,1,England,0,6,7,0,0
Trent Alexander-Arnold,Liverpool,18,RB,3,1.5,327,4.5,0.30%,15,2,England,0,1,10,1,0
Michael Carrick,Manchester United,35,DM,2,1.5,1789,4.5,1.80%,42,1,England,0,6,12,1,0
Peter Crouch,Stoke City,36,CF,1,1.5,2656,5,2.90%,79,1,England,0,6,15,0,0
